,word,count
0,excelr,36298
1,subject,35176
2,pm,33899
3,please,31244
4,time,25628
5,would,24749
6,cc,24063
7,email,22902
8,week,21670
9,new,21118
10,get,19710
11,know,19241
12,message,18497
13,one,18049
14,may,16920
15,need,16355
16,sent,16085
17,thanks,15774
18,day,15030
19,company,14960
20,like,14695
21,meeting,14569
22,john,14566
23,market,14455
24,year,14166
25,sally,13853
26,business,13843
27,information,13829
28,original,13521
29,team,13484
30,gas,13081
31,let,12896
32,also,12612
33,call,12417
34,see,12393
35,game,11984
36,service,11913
37,report,11840
38,last,11729
39,power,11528
40,price,11459
41,forwarded,11184
42,make,11182
43,work,11161
44,houston,11083
45,said,10547
46,back,10483
47,question,10452
48,date,10355
49,group,10319
50,free,10191
51,energy,10017
52,well,9934
53,could,9618
54,want,9556
55,go,9551
56,risk,9468
57,deal,9381
58,change,9349
59,system,9347
60,think,9263
61,number,9098
62,trading,9070
63,eric,9040
64,office,8965
65,next,8929
66,two,8926
67,dont,8787
68,contact,8765
69,good,8751
70,today,8622
71,list,8527
72,take,8509
73,corp,8401
74,way,8197
75,issue,8174
76,management,8174
77,review,8109
78,monday,7803
79,help,7779
80,look,7779
81,going,7659
82,following,7592
83,friday,7582
84,right,7570
85,process,7478
86,first,7353
87,point,7348
88,attached,7326
89,data,7319
90,london,7099
91,position,7054
92,still,6943
93,operation,6933
94,plan,6880
95,click,6809
96,mike,6782
97,use,6694
98,david,6652
99,hour,6630
100,order,6552
101,final,6544
102,per,6536
103,customer,6424
104,thursday,6336
105,people,6297
106,start,6296
107,wednesday,6272
108,mark,6269
109,month,6264
110,td,6230
111,offer,6190
112,available,6110
113,give,6097
114,request,6094
115,tuesday,6092
116,product,5965
117,america,5964
118,employee,5946
119,thank,5940
120,global,5920
121,say,5906
122,name,5906
123,forward,5899
124,note,5890
125,november,5888
126,rick,5847
127,scheduled,5838
128,much,5809
129,schedule,5789
130,great,5781
131,cost,5719
132,im,5683
133,october,5557
134,best,5516
135,buy,5511
136,communication,5505
137,send,5439
138,credit,5436
139,project,5419
140,jeff,5382
141,trade,5353
142,contract,5348
143,north,5347
144,come,5330
145,transaction,5304
146,end,5295
147,find,5292
148,play,5290
149,michael,5281
150,texas,5229
151,december,5172
152,support,5162
153,detail,5132
154,outage,5112
155,bass,5051
156,since,5001
157,received,5000
158,state,4997
159,file,4965
160,update,4947
161,updated,4937
162,financial,4935
163,news,4903
164,made,4887
165,book,4847
166,working,4844
167,problem,4836
168,sunday,4824
169,stock,4815
170,value,4813
171,many,4788
172,address,4726
173,center,4722
174,provide,4691
175,james,4686
176,inc,4667
177,thing,4652
178,sure,4641
179,january,4639
180,phillip,4626
181,active,4621
182,night,4611
183,steve,4609
184,keep,4547
185,receive,4504
186,tr,4484
187,phone,4483
188,program,4459
189,site,4437
190,excelrs,4431
191,access,4383
192,share,4369
193,around,4335
194,hope,4312
195,able,4302
196,rate,4299
197,set,4298
198,place,4291
199,area,4290
200,due,4264
201,larry,4231
202,season,4224
203,line,4215
204,lynn,4210
205,online,4209
206,even,4205
207,comment,4193
208,account,4184
209,scott,4176
210,million,4171
211,put,4147
212,iso,4145
213,option,4132
214,future,4128
215,check,4095
216,fantasy,4072
217,unit,4018
218,daily,3999
219,home,3967
220,standard,3967
221,might,3965
222,fw,3963
223,copy,3963
224,current,3957
225,must,3951
226,another,3947
227,sat,3907
228,special,3854
229,robert,3845
230,facearial,3831
231,result,3821
232,however,3802
233,thought,3797
234,ena,3796
235,opportunity,3789
236,thru,3785
237,discus,3784
238,visit,3779
239,resource,3779
240,sale,3777
241,regarding,3759
242,chris,3752
243,bill,3747
244,three,3693
245,rb,3684
246,bob,3666
247,member,3648
248,better,3636
249,yard,3634
250,morning,3633
251,long,3611
252,analyst,3605
253,manager,3577
254,little,3569
255,discussion,3569
256,wr,3561
257,regard,3552
258,open,3542
259,total,3541
260,really,3507
261,guy,3498
262,director,3497
263,fax,3496
264,additional,3495
265,big,3493
266,every,3482
267,continue,3473
268,id,3466
269,control,3455
270,meet,3454
271,part,3415
272,table,3399
273,mary,3397
274,got,3393
275,believe,3391
276,trader,3379
277,york,3374
278,agreement,3353
279,within,3348
280,september,3348
281,level,3340
282,pt,3330
283,august,3326
284,possible,3308
285,done,3274
286,term,3264
287,president,3260
288,web,3240
289,link,3239
290,bad,3229
291,city,3223
292,conference,3221
293,view,3220
294,player,3217
295,cash,3209
296,party,3204
297,move,3180
298,including,3175
299,effort,3170
300,user,3170
301,high,3157
302,feel,3152
303,job,3144
304,activity,3134
305,richard,3133
306,room,3130
307,qb,3129
308,natural,3125
309,beckhouectect,3116
310,currently,3115
311,already,3099
312,talk,3098
313,soon,3096
314,run,3096
315,description,3095
316,looking,3092
317,person,3083
318,asked,3078
319,friend,3075
320,action,3075
321,location,3069
322,four,3068
323,return,3063
324,role,3061
325,brian,3060
326,travel,3059
327,jones,3047
328,expected,3040
329,include,3040
330,font,3040
331,le,3021
332,head,3017
333,smith,3014
334,enough,3014
335,event,3014
336,world,3012
337,ee,3005
338,george,3004
339,desk,3003
340,weekend,2996
341,left,2995
342,used,2983
343,item,2978
344,space,2973
345,based,2971
346,development,2966
347,reporting,2965
348,impact,2960
349,facility,2955
350,holiday,2938
351,internet,2928
352,tomorrow,2927
353,march,2927
354,getting,2926
355,top,2921
356,lot,2908
357,close,2906
358,defense,2894
359,california,2894
360,agent,2881
361,without,2866
362,complete,2861
363,volume,2853
364,try,2846
365,ticket,2846
366,san,2832
367,security,2829
368,probably,2826
369,july,2826
370,joe,2820
371,sell,2818
372,greg,2811
373,purchase,2808
374,application,2806
375,form,2805
376,idea,2800
377,found,2798
378,everyone,2796
379,executive,2796
380,communicationsexcelr,2793
381,june,2786
382,tofrom,2772
383,transtype,2761
384,mkttype,2761
385,full,2743
386,status,2741
387,delivery,2741
388,either,2740
389,kevin,2711
390,ill,2710
391,show,2697
392,approval,2696
393,basis,2689
394,saturday,2680
395,pay,2675
396,brown,2668
397,firm,2660
398,staff,2660
399,investment,2656
400,several,2652
401,attend,2641
402,jason,2637
403,jim,2632
404,performance,2628
405,ct,2626
406,brent,2616
407,together,2609
408,tell,2609
409,intended,2606
410,past,2602
411,street,2590
412,billion,2589
413,second,2584
414,board,2583
415,scid,2582
416,transdate,2582
417,interest,2579
418,american,2578
419,participant,2561
420,document,2559
421,love,2554
422,whether,2554
423,notice,2552
424,concern,2552
425,april,2550
426,eb,2548
427,youre,2547
428,beck,2547
429,purpose,2543
430,hotel,2541
431,prior,2529
432,commodity,2526
433,wanted,2524
434,fool,2523
435,never,2515
436,case,2511
437,using,2510
438,something,2508
439,basshouectect,2500
440,outlook,2493
441,page,2490
442,calendar,2487
443,allowed,2485
444,investor,2485
445,floor,2471
446,money,2469
447,period,2469
448,west,2468
449,yet,2463
450,mean,2463
451,requirement,2458
452,asset,2456
453,policy,2456
454,letter,2455
455,tax,2454
456,alignrightfont,2450
457,jennifer,2443
458,injury,2440
459,susan,2439
460,field,2438
461,dear,2436
462,short,2426
463,listed,2420
464,pipeline,2410
465,industry,2408
466,practice,2406
467,cant,2405
468,anything,2404
469,amount,2404
470,dinner,2398
471,someone,2394
472,type,2389
473,early,2380
474,interested,2374
475,disk,2373
476,charge,2365
477,dave,2364
478,dynegy,2360
479,loss,2355
480,permit,2352
481,starting,2348
482,commercial,2347
483,gary,2345
484,join,2342
485,rule,2335
486,didnt,2329
487,cut,2326
488,dow,2325
489,epmi,2320
490,legal,2318
491,ted,2315
492,given,2310
493,var,2303
494,minute,2302
495,unsubscribe,2300
496,thats,2296
497,tom,2291
498,read,2286
499,draft,2283
500,summer,2282
501,fund,2274
502,net,2272
503,presentation,2272
504,real,2270
505,old,2258
506,mail,2251
507,demand,2251
508,decision,2246
509,allen,2243
510,included,2243
511,anyone,2238
512,plant,2238
513,fri,2237
514,payment,2237
515,beth,2236
516,ericbassexcelrcom,2235
517,eol,2231
518,required,2222
519,told,2220
520,central,2217
521,fyi,2215
522,sign,2208
523,limit,2208
524,key,2203
525,save,2198
526,transmission,2197
527,important,2191
528,general,2189
529,individual,2187
530,confirmation,2184
531,copyright,2182
532,tim,2178
533,bid,2172
534,frank,2171
535,woman,2167
536,always,2160
537,environment,2155
538,life,2152
539,later,2148
540,making,2143
541,ask,2141
542,tx,2140
543,feedback,2136
544,via,2131
545,source,2128
546,arnold,2126
547,session,2126
548,school,2121
549,different,2115
550,server,2115
551,sun,2109
552,ew,2108
553,yesterday,2100
554,europe,2098
555,needed,2096
556,man,2095
557,family,2090
558,addition,2089
559,etc,2087
560,analysis,2086
561,answer,2084
562,likely,2083
563,bank,2080
564,least,2073
565,car,2073
566,capacity,2073
567,responsibility,2066
568,fact,2062
569,utility,2060
570,quarter,2054
571,br,2054
572,info,2050
573,paul,2039
574,reason,2035
575,load,2034
576,experience,2032
577,oil,2025
578,hard,2023
579,understand,2021
580,settlement,2021
581,accounting,2021
582,february,2019
583,happy,2018
584,others,2017
585,course,2017
586,provided,2017
587,response,2016
588,limited,2014
589,requested,2013
590,completed,2011
591,blair,2009
592,corporate,2002
593,shona,1996
594,create,1995
595,trip,1995
596,interview,1989
597,earnings,1988
598,public,1980
599,operating,1980
600,training,1979
601,building,1978
602,ive,1977
603,reserve,1975
604,house,1968
605,taking,1965
606,direct,1963
607,lead,1962
608,add,1955
609,major,1950
610,late,1949
611,held,1949
612,detailed,1949
613,alias,1946
614,production,1945
615,increase,1945
616,discussed,1944
617,percent,1943
618,white,1940
619,football,1939
620,recipient,1938
621,committee,1937
622,bring,1933
623,network,1933
624,chance,1931
625,patti,1927
626,called,1924
627,trying,1923
628,purchsale,1922
629,gift,1921
630,error,1919
631,follow,1915
632,thomas,1914
633,ut,1908
634,reserved,1905
635,tradingsc,1897
636,schedtype,1897
637,engy,1897
638,marketing,1896
639,potential,1893
640,index,1889
641,effective,1885
642,he,1883
643,wish,1883
644,hi,1875
645,though,1873
646,sap,1872
647,specific,1870
648,although,1868
649,respond,1864
650,website,1863
651,jan,1863
652,doesnt,1862
653,coming,1861
654,chief,1860
655,dec,1858
656,sheila,1857
657,material,1857
658,exchange,1856
659,card,1853
660,davis,1853
661,win,1851
662,electricity,1847
663,capital,1846
664,expense,1843
665,williams,1842
666,far,1841
667,entry,1840
668,co,1833
669,weather,1832
670,wholesale,1828
671,begin,1826
672,lisa,1823
673,stephen,1811
674,reply,1805
675,technology,1800
676,else,1798
677,senior,1798
678,east,1795
679,focus,1795
680,pntofintrc,1793
681,dealno,1793
682,attachment,1793
683,third,1790
684,solution,1789
685,fee,1787
686,operational,1786
687,air,1785
688,chairman,1783
689,jeffrey,1781
690,ensure,1776
691,test,1770
692,plus,1769
693,department,1765
694,mr,1764
695,passing,1761
696,south,1759
697,moving,1759
698,lunch,1756
699,portfolio,1756
700,helveticafont,1751
701,vacation,1749
702,summary,1747
703,st,1746
704,record,1742
705,organization,1742
706,responsible,1741
707,country,1740
708,recent,1735
709,statement,1731
710,yes,1730
711,kim,1725
712,database,1724
713,william,1721
714,picture,1716
715,average,1716
716,officer,1715
717,upon,1715
718,section,1714
719,side,1711
720,small,1708
721,wont,1707
722,nyiso,1707
723,region,1706
724,away,1704
725,migration,1702
726,matthew,1699
727,ready,1696
728,associate,1693
729,planning,1691
730,code,1690
731,large,1689
732,afternoon,1689
733,latest,1686
734,necessary,1680
735,fare,1678
736,hear,1674
737,wall,1674
738,remember,1665
739,research,1665
740,zone,1661
741,running,1660
742,fall,1660
743,international,1660
744,pas,1657
745,across,1655
746,hand,1652
747,word,1647
748,computer,1645
749,commission,1645
750,leave,1641
751,todd,1639
752,physical,1639
753,weekly,1636
754,karen,1636
755,distribution,1631
